🥰		5400083151722659509		
🥰		5233410992976710895		
🥰		5269395453048265045		
🥰		5303263761258271050		
🥰		5449765774329663898		
👏		5265228261029327858		
👏		5296669762393217791		
🤔		5301147038166045393		
🤔		5228729693372438887		
🤔		5353078329555571789		
🤔		5438619054296287587		
🤔		5278548517982327354		
🤔		5402207579986219491		
🤔		5454024994612861657		
🤔		5188230385154149088		
🤔		5467793998338872715		
🤔		5197604215702183380		
🤔		5381830270859104119		
🤔		5199437561147185833		
🤔		5298798245105916829		
🤔		5242687482385947054		
🤔		5271900157716221502		
🤔		5237935702368342717		
🤔		5447655601062561933		
🤔		5213420806431853909		
🤔		5226433260258612177		
🤔		5228705087504796233		
🤔		5393431772094551961		
🤔		5188598734434365507		
🤔		5406864625910176081		
🤔		5413443781368239985		
🤔		5359400791998224519		
🤔		5296379100481476100		
🤔		5296795102423816510		
🤔		5294039833658803832		
🤔		5440471112913804372		
🤔		5296469350629264898		
🤔		5215274136359688514		
🤯		5251246888350398100		
🤯		5237912737178206592		
🤯		5199582731041773705		
🤯		5355022480861848696		
🤯		5418054291321538483		
🤯		5402177476560434979		
🤯		5343739013364729462		
🤯		5285410247928726633		
🤯		5377476093143957015		
😱		5458649175447068117		
😱		5296789312807901666		
😱		5274189087522178220		
😱		5357427782806680828		
😱		5192811251243179335		
😱		5273953250867955597		
😱		5422822731517283238		
😱		5447129368784553154		
😱		5258138266456045276		
🤬		5305638199568123955		
🤬		5456260417716243300		
🤬		5199750359320370821		
🤬		5204326728578649609		
🤬		5287739803830327916		
🤬		5240007783570486716		
🤬		5386436610399160058		
😢		5199907928785557571		
😢		5404624847709943130		
😢		5208571517771723025		
😢		5411406717034448891		
🎉		5298766204649872471		
🎉		4970183764643676852		
🤩		5202172110989957559		
🤩		5335006395664179964		
🤩		5377425485544311706		
🤩		5276244100524283683		
🤩		5309974729262642571		
🤮		5399979303708410516		
💩		5373136032986316091		
💩		5427385455664448590		
💩		5197248197273078492		
💩		5377426593645880390		
👌		5278525600036823830		
👌		5429481068992404622		
👌		5199501195382627206		
🤡		5474623339936895299		
🤡		5402152698894109903		
🤡		5386831648606141666		
🤡		5237736742303321114		
🤡		5267111900541367075		
🥴		5276411063082960926		
🥴		5458920707574480084		
🥴		5292129900356966544		
🥴		5397830067713754992		
😍		5276499466394811467		
😍		5307532739707158053		
😍		5199751145299383550		
😍		5474525680970525814		
😍		5325995584341940846		
😍		5267353844639078745		
😍		5278632540427537535		
😍		5355055934362107020		
😍		5258502780330460137		
😍		5422665269426265106		
😍		5255906459715115520		
😍		5237839791453655371		
😍		5278479154260495753		
😍		5316818540605478829		
😍		5199645609362987873		
😍		5298765568994712160		
😍		5402332018073679834		
😍		5318898808015296420		
😍		5305402341439058363		
❤‍🔥		5269524864707860078		
❤‍🔥		5319158979954229182		
❤‍🔥		5364187558819418305		
❤‍🔥		5431832168449983046		
❤‍🔥		5436219821140220621		
🤣		5294381378048113427		
🤣		5433677406659419467		
🤣		5287700225706705481		
🤣		5309985054364021277		
🏆		5003540413399696306		
🏆		5321047026102714339		
🏆		5283179205691990448		
💔		5343923593879240259		
💔		5422525270672284142		
💔		5316683262020564796		
😐		5370875879461250062		
😐		5215558330050699073		
😐		5233643483851411432		
😐		5215451999545348731		
😐		5226639740811365578		
🖕		5418213501464234089		
😈		5298524445235748201		
😈		5406757183008291910		
😴		5265266189885512685		
😴		5199914190847874664		
😴		5199654620204373613		
😴		5282786564076739562		
😴		5276296250017193032		
😴		5226749537355320995		
😭		5199797767169382536		
😭		5400247588840554648		
😭		5199616051398055853		
😭		4992272626828182669		
😭		5271819223352489647		
😭		5285202242662583987		
😭		5276130773517213254		
👻		5465392617699160564		
👻		5318885888753677407		
👨‍💻		5190483263004620832		
👨‍💻		5260273183029744498		
👨‍💻		4985671579921811347		
👨‍💻		5235959441886557740		
👀		5210972967130912095		
😇		5343563881778267878		
😇		5465428884403016135		
😇		5222256511937433879		
😨		5278278115431305575		
😨		5217544915633838343		
😨		5199710725362162922		
🤝		5325508169978368119		
🤝		5213075100219231383		
🤝		5316559463883227154		
🤝		5289497025274985738		
🤗		5377817847986675057		
🤗		5269383014822975158		
🤗		5296271447126186407		
🤗		5339081233001362284		
🤗		5215623415985085036		
🫡		5460747722237687710		
🫡		5379735387675575132		
🫡		5373254191831594037		
🎅		5469784788695005955		
🎄		5440726014927844546		
🎄		5222344073435692012		
🤪		5384200354072117254		
🤪		5409367492332115297		
💘		5361877497774358112		
🦄		5386766008620959057		
😘		5202214596806450391		
😘		5350590130446932583		
😘		5314671589533431402		
😘		5199736001244699098		
😘		5201972416485529451		
😘		5203995831413268540		
😘		5280689245646770785		
😘		5334882116490510602		
😘		5276270733616487427		
😘		5300918331157519266		
😘		5202206840095511405		
😘		5271825352270814879		
😘		5269257464338979611		
😘		5258204473376919605		
😘		5386728797024304133		
💊		5386366834360467867		
😎		5204239716836186750		
😎		5384149007738099175		
😎		5314551180125281802		
😎		5255931830086944741		
🤷‍♂		5393068868832879749		
😡		5386309526611834845		
😡		5303197064711123020		
😡		5413420141868228037		
😡		5282751684647339553		
😡		5278314803041933798		
😡		5258019592214694954		
😡		5298993008987872222		
😡		5402617139477630460		
😡		5325838272574800390		
😡		5325732229832260838		
😡		5345783735625194276		
😡		5280886157012395432		
😂		5287245697907695575		
😂		5291931816465275738		
😂		5199474012534610002		
😂		5364136680636828335		
😂		5199843671779843451		
😂		5199465598693687055		
😂		5312543115410681520		
☕		5382211990372497138		
⚽		5451910114061602411		
✅		5265153872195756001		
✅		5192784725525152419		
✈		5402217741878838912		
✊		5271837150545976153		
❄		5467812050086416198		
❄		5211213609853534583		
❤‍🩹		5224269103547567373		
🌅		5271662577305277261		
🌹		5436014903955561968		
🍀		5276496378313329689		
🍔		5307875387903067038		
🍳		5310027626079870721		
🍿		5426962328371349800		
🎁		5469657369900235439		
🎁		5208428005734498711		
🎁		5222238451599949657		
🎁		5228895582189272633		
🎁		5427200132120582645		
🎁		5663393367413751912		
🎁		5668144954157826053		
🎁		5420104476780411731		
🎁		5717331924653965329		
🎁		5537250070556049427		
🎁		5638930797063831568		
🎁		5648025729615527962		
🎁		5215616105950759174		
🎁		5735664292477272080		
🎁		5722065266376966148		
